Location,HCHO_reading,Current_Date,Next_Date
kurunegala proper,8.829725542537962e-05,2019-01-01,2019-01-02
kurunegala proper,0.00013707874027782185,2019-01-02,2019-01-03
kurunegala proper,0.0001480085027113037,2019-01-03,2019-01-04
kurunegala proper,0.00014262229009906032,2019-01-04,2019-01-05
kurunegala proper,0.0002279557317283714,2019-01-05,2019-01-06
kurunegala proper,0.00010155833001770782,2019-01-06,2019-01-07
kurunegala proper,0.00019190566681902724,2019-01-07,2019-01-08
kurunegala proper,0.00012155004561388685,2019-01-08,2019-01-09
kurunegala proper,9.741700467262773e-05,2019-01-09,2019-01-10
kurunegala proper,0.00011303426280120108,2019-01-10,2019-01-11
kurunegala proper,7.047632943988818e-05,2019-01-11,2019-01-12
kurunegala proper,0.0001691712548577679,2019-01-12,2019-01-13
kurunegala proper,0.00014262229009906032,2019-01-13,2019-01-14
kurunegala proper,0.00014262229009906032,2019-01-14,2019-01-15
kurunegala proper,8.792493954777681e-05,2019-01-15,2019-01-16
kurunegala proper,6.834336052834083e-05,2019-01-16,2019-01-17
kurunegala proper,0.00013806247978490952,2019-01-17,2019-01-18
kurunegala proper,0.00017382233094526332,2019-01-18,2019-01-19
kurunegala proper,0.0002279557317283714,2019-01-19,2019-01-20
kurunegala proper,9.756178281847059e-05,2019-01-20,2019-01-21
kurunegala proper,0.00019597891944758412,2019-01-21,2019-01-22
kurunegala proper,0.0002279557317283714,2019-01-22,2019-01-23
kurunegala proper,0.0001623734482581754,2019-01-23,2019-01-24
kurunegala proper,0.0002279557317283714,2019-01-24,2019-01-25
kurunegala proper,0.00012785216527853735,2019-01-25,2019-01-26
kurunegala proper,0.00016604364391048623,2019-01-26,2019-01-27
kurunegala proper,0.00014999656662541432,2019-01-27,2019-01-28
kurunegala proper,0.00010804992542427686,2019-01-28,2019-01-29
kurunegala proper,0.00011581419000969629,2019-01-29,2019-01-30
kurunegala proper,0.0001113523173507818,2019-01-30,2019-01-31
kurunegala proper,3.99654431232259e-05,2019-01-31,2019-02-01
kurunegala proper,0.0001926267275908041,2019-02-01,2019-02-02
kurunegala proper,4.824408500716178e-05,2019-02-02,2019-02-03
kurunegala proper,0.00014262229009906032,2019-02-03,2019-02-04
kurunegala proper,0.00014262229009906032,2019-02-04,2019-02-05
kurunegala proper,0.00014262229009906032,2019-02-05,2019-02-06
kurunegala proper,0.0001913403998944045,2019-02-06,2019-02-07
kurunegala proper,0.0002279557317283714,2019-02-07,2019-02-08
kurunegala proper,0.0002279557317283714,2019-02-08,2019-02-09
kurunegala proper,0.00014262229009906032,2019-02-09,2019-02-10
kurunegala proper,7.523556172334847e-05,2019-02-10,2019-02-11
kurunegala proper,0.0001297080667525631,2019-02-11,2019-02-12
kurunegala proper,6.270259499786078e-05,2019-02-12,2019-02-13
kurunegala proper,8.990000185560485e-05,2019-02-13,2019-02-14
kurunegala proper,7.931416535107657e-05,2019-02-14,2019-02-15
kurunegala proper,6.0740207710781725e-05,2019-02-15,2019-02-16
kurunegala proper,0.00014262229009906032,2019-02-16,2019-02-17
kurunegala proper,0.00015017120953517022,2019-02-17,2019-02-18
