STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
,,,,,01/01/2019,,,,
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,02/01/2019,0,78,,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,03/01/2019,0,81,87,71
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,04/01/2019,0,83,88,69
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,05/01/2019,0,84,90,65
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,06/01/2019,0,82,88,71
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,07/01/2019,0,80,89,68
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,08/01/2019,0,82,90,71
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,09/01/2019,0,83,89,71
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,10/01/2019,0,81,88,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,11/01/2019,0,85,90,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,12/01/2019,0,84,90,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,13/01/2019,0,82,87,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,14/01/2019,0,80,86,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,15/01/2019,0,81,,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,16/01/2019,0,82,89,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,17/01/2019,0,80,,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,19/01/2019,0,82,89,66
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,20/01/2019,0,80,,69
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,21/01/2019,0,82,90,69
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,22/01/2019,0,82,92,69
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,23/01/2019,0,82,92,69
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,24/01/2019,0,83,92,70
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,26/01/2019,0,87,94,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,27/01/2019,0,84,94,70
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,28/01/2019,0,82,91,71
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,29/01/2019,0,81,92,67
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,30/01/2019,0,85,,70
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,31/01/2019,0,84,92,71
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,01/02/2019,0,87,94,71
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,02/02/2019,0,87,93,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,03/02/2019,0,83,,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,04/02/2019,0,82,88,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,05/02/2019,0.02,82,89,75
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,06/02/2019,0,83,,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,07/02/2019,0,85,96,71
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,10/02/2019,2.51,84,93,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,11/02/2019,0,82,92,72
