HCHO_reading,Location,Current_Date,Next_Date
0.0001161015238442,nuwara eliya proper,2019-01-01,2019-01-02
0.0001161015238442,nuwara eliya proper,2019-01-02,2019-01-03
0.0001908293886956,nuwara eliya proper,2019-01-03,2019-01-04
5.0976259171277377e-05,nuwara eliya proper,2019-01-04,2019-01-05
6.456645496655256e-05,nuwara eliya proper,2019-01-05,2019-01-06
8.982348709518115e-05,nuwara eliya proper,2019-01-06,2019-01-07
4.097797651418246e-05,nuwara eliya proper,2019-01-07,2019-01-08
4.097797651418246e-05,nuwara eliya proper,2019-01-08,2019-01-09
4.097797651418246e-05,nuwara eliya proper,2019-01-09,2019-01-10
4.097797651418246e-05,nuwara eliya proper,2019-01-10,2019-01-11
3.914670787137749e-05,nuwara eliya proper,2019-01-11,2019-01-12
3.914670787137749e-05,nuwara eliya proper,2019-01-12,2019-01-13
3.914670787137749e-05,nuwara eliya proper,2019-01-13,2019-01-14
4.211950727039948e-05,nuwara eliya proper,2019-01-14,2019-01-15
4.27055256923008e-05,nuwara eliya proper,2019-01-15,2019-01-16
4.27055256923008e-05,nuwara eliya proper,2019-01-16,2019-01-17
0.0001077155480912,nuwara eliya proper,2019-01-17,2019-01-18
2.1021983917616697e-05,nuwara eliya proper,2019-01-18,2019-01-19
3.5177822608346057e-05,nuwara eliya proper,2019-01-19,2019-01-20
8.95718212363389e-06,nuwara eliya proper,2019-01-20,2019-01-21
0.0001169623557084,nuwara eliya proper,2019-01-21,2019-01-22
0.0001423180803672,nuwara eliya proper,2019-01-22,2019-01-23
5.387086215710865e-05,nuwara eliya proper,2019-01-23,2019-01-24
5.8914353326833725e-05,nuwara eliya proper,2019-01-24,2019-01-25
5.8914353326833725e-05,nuwara eliya proper,2019-01-25,2019-01-26
5.8914353326833725e-05,nuwara eliya proper,2019-01-26,2019-01-27
0.0003100065786437,nuwara eliya proper,2019-01-27,2019-01-28
0.0001509017772374,nuwara eliya proper,2019-01-28,2019-01-29
0.0001841569476548,nuwara eliya proper,2019-01-29,2019-01-30
3.054402387193301e-05,nuwara eliya proper,2019-01-30,2019-01-31
3.6008610393953005e-05,nuwara eliya proper,2019-01-31,2019-02-01
7.778077086008773e-05,nuwara eliya proper,2019-02-01,2019-02-02
7.778077086008773e-05,nuwara eliya proper,2019-02-02,2019-02-03
7.778077086008773e-05,nuwara eliya proper,2019-02-03,2019-02-04
7.778077086008773e-05,nuwara eliya proper,2019-02-04,2019-02-05
7.778077086008773e-05,nuwara eliya proper,2019-02-05,2019-02-06
7.778077086008773e-05,nuwara eliya proper,2019-02-06,2019-02-07
8.962996522611401e-05,nuwara eliya proper,2019-02-07,2019-02-08
6.902842232093944e-05,nuwara eliya proper,2019-02-08,2019-02-09
6.902842232093944e-05,nuwara eliya proper,2019-02-09,2019-02-10
5.539429507152505e-05,nuwara eliya proper,2019-02-10,2019-02-11
5.539429507152505e-05,nuwara eliya proper,2019-02-11,2019-02-12
5.539429507152505e-05,nuwara eliya proper,2019-02-12,2019-02-13
7.972334424266592e-05,nuwara eliya proper,2019-02-13,2019-02-14
7.972334424266592e-05,nuwara eliya proper,2019-02-14,2019-02-15
7.972334424266592e-05,nuwara eliya proper,2019-02-15,2019-02-16
7.972334424266592e-05,nuwara eliya proper,2019-02-16,2019-02-17
7.972334424266592e-05,nuwara eliya proper,2019-02-17,2019-02-18
0.0001733092446862,nuwara eliya proper,2019-02-18,2019-02-19
0.0002395688257623,nuwara eliya proper,2019-02-19,2019-02-20
0.0001075724904002,nuwara eliya proper,2019-02-20,2019-02-21
0.0001075724904002,nuwara eliya proper,2019-02-21,2019-02-22
0.0001075724904002,nuwara eliya proper,2019-02-22,2019-02-23
0.0001895221819805,nuwara eliya proper,2019-02-23,2019-02-24
0.0002737589225376,nuwara eliya proper,2019-02-24,2019-02-25
0.0002737589225376,nuwara eliya proper,2019-02-25,2019-02-26
0.0002737589225376,nuwara eliya proper,2019-02-26,2019-02-27
0.0002737589225376,nuwara eliya proper,2019-02-27,2019-02-28
0.0002737589225376,nuwara eliya proper,2019-02-28,2019-03-01
0.0002737589225376,nuwara eliya proper,2019-03-01,2019-03-02
0.0001235405797752,nuwara eliya proper,2019-03-02,2019-03-03
0.0001235405797752,nuwara eliya proper,2019-03-03,2019-03-04
0.0001235405797752,nuwara eliya proper,2019-03-04,2019-03-05
0.0001477264081287,nuwara eliya proper,2019-03-05,2019-03-06
6.384192250393643e-05,nuwara eliya proper,2019-03-06,2019-03-07
0.0001673222246266,nuwara eliya proper,2019-03-07,2019-03-08
8.084443465562647e-05,nuwara eliya proper,2019-03-08,2019-03-09
8.084443465562647e-05,nuwara eliya proper,2019-03-09,2019-03-10
6.543632959168698e-05,nuwara eliya proper,2019-03-10,2019-03-11
6.152930957380892e-05,nuwara eliya proper,2019-03-11,2019-03-12
